AdQuoNo,DetailType,DetailNo,Type,PartName,MaterialName,SpecName1,SpecName2,No,FirstName,StandDimen,MakerName,MakerNameOrg,Unit,UnitOrg,Quantity,UnitPrice,UnitPriceOrg,Amount,Note,LaborOuts,MaterUnitPrice,LaborUnitPrice,OutsUnitPrice,MaterCostTotal,LaborCostTotal,OutsCostTotal,MaterUnitPriceOrg,LaborUnitPriceOrg,OutsUnitPriceOrg,MaterUPChangeFlag,LaborUPChangeFlag,OutsUPChangeFlag,FirstNameChangeFlag,StandChangeFlag,UnitPriceChangeFlag,AmountChangeFlag,MakerChangeFlag,UnitChangeFlag,SpecCode1,SpecCode2,ReadFlag,M_EstUP1,M_MaterUP1,M_LaborUP1,M_OutsUP1,M_EstUP2,M_MaterUP2,M_LaborUP2,M_OutsUP2,MaterScaleFactor,LaborAmountTotal,OutsAmountTotal,OpenUPOrg,MaterOpenUPOrg,LaborOpenUPOrg,OutsOpenUPOrg,OutsCost,MaterCost,LiftingCost,LaborCost,SiteExpense,ReadDataKey
2,1,12,A 軽鉄下地 (天井),梁型,一般材,梁型 軽鉄下地 300X450 (M),,7,折上天井　軽鉄地,19型　捨張用　H;300×W;400,,,Ｍ,M,36.2,"2,800","2,800","101,360",,労務,649,"1,000","2,520","23,494","36,200","91,224",649,"1,000","2,520",0,0,0,1,1,0,0,0,1,1160004,,1,"2,800",649,"1,000","2,520",,,,,1,,,0,0,0,0,,"23,494","2,027","36,200","2,027",
2,1,13,A 軽鉄下地 (天井),天井開口,一般材,天井 軽鉄下地 開口補強 300×1200,,8,天井軽鉄地　開口補強,300×1200,,,箇所,ｹ所,15,"3,000","3,000","45,000",,労務,717,750,"2,700","10,755","11,250","40,500",717,750,"2,700",0,0,0,1,1,0,0,0,1,1120104,,1,"3,000",717,750,"2,700",,,,,1,,,0,0,0,0,,"10,755",900,"11,250",900,
2,1,14,A 軽鉄下地 (天井),天井開口,一般材,天井 軽鉄下地 開口補強 (M),,9,天井軽鉄地　開口補強,600　Φ,,,箇所,M,20,"2,520","1,050","50,400",,労務,629,600,"2,280","12,580","12,000","45,600",262,250,950,2,2,2,1,1,2,0,0,1,1120001,,1,"1,050",262,250,950,,,,,1,,,"2,520",629,600,"2,280",,"12,580","1,008","12,000","1,008",
2,1,15,A 軽鉄下地 (天井),天井開口,一般材,天井 軽鉄下地 開口補強 (M),,10,天井開口補強　軽鉄下地補強　,300 × 15000,,,ヶ所,M,2,"32,130","1,050","64,260",,労務,"8,017","7,650","29,070","16,034","15,300","58,140",262,250,950,2,2,2,1,1,2,0,0,1,1120001,,1,"1,050",262,250,950,,,,,1,,,"32,130","8,017","7,650","29,070",,"16,034","1,285","15,300","1,285",
2,1,16,A 軽鉄下地 (天井),点検口,一般材,天井 ｱﾙﾐ点検口 額縁ﾀｲﾌﾟ 450×450,,11,天井点検口,ｱﾙﾐ額縁ﾀｲﾌﾟ　450角,,,か所,ｹ所,24,"4,500","4,500","108,000",,労務,"1,522","1,500","4,050","36,528","36,000","97,200","1,522","1,500","4,050",0,0,0,1,1,0,0,0,1,1181002,,1,"4,500","1,522","1,500","4,050",,,,,1,,,0,0,0,0,,"36,528","2,160","36,000","2,160",
2,1,17,A 軽鉄下地 (天井),点検口,一般材,天井 ｱﾙﾐ点検口 額縁ﾀｲﾌﾟ 600×600,,12,天井点検口,ｱﾙﾐ目地ﾀｲﾌﾟ　600角,,,ヵ所,,2,"7,550","7,550","15,100",,労務,"3,290","1,800","6,800","6,580","3,600","13,600","3,290","1,800","6,800",0,0,0,1,1,0,0,0,0,1181003,,1,"7,550","3,290","1,800","6,800",,,,,1,,,0,0,0,0,,"6,580",302,"3,600",302,
2,1,18,B 軽鉄下地 (壁),壁,一般材,壁 軽鉄下地 W=65 @303,,13,壁　軽鉄間仕切,W=65　@303,,,㎡,㎡,1856.5,"2,100","2,100","3,898,650",,労務,"1,110",450,"1,890","2,060,715","835,425","3,508,785","1,110",450,"1,890",0,0,0,1,1,0,0,0,1,2010006,,1,"2,100","1,110",450,"1,890",,,,,1,,,0,0,0,0,,"2,060,715","77,973","835,425","77,973",
2,1,19,B 軽鉄下地 (壁),壁,一般材,壁 軽鉄下地 W=65 @455,,14,壁　軽鉄間仕切,W=65　@455,,,㎡,㎡,246,"1,700","1,700","418,200",,労務,869,400,"1,530","213,774","98,400","376,380",869,400,"1,530",0,0,0,1,1,0,0,0,1,2010106,,1,"1,700",869,400,"1,530",,,,,1,,,0,0,0,0,,"213,774","8,364","98,400","8,364",
2,1,20,B 軽鉄下地 (壁),壁開口,一般材,壁 開口補強 W=65,,15,壁　軽鉄間仕切開口補強,W=65,,,Ｍ,M,1881.3,"1,050","1,050","1,975,365",,労務,483,250,950,"908,668","470,325","1,787,235",483,250,950,0,0,0,1,1,0,0,0,1,2130006,,1,"1,050",483,250,950,,,,,1,,,0,0,0,0,,"908,668","39,507","470,325","39,507",
2,1,21,B 軽鉄下地 (壁),柱型,一般材,柱型 軽鉄下地 W=65 @303,,16,柱型　軽鉄下地,W=65　@303,,,㎡,㎡,195,"2,850","2,850","555,750",,労務,"1,439",540,"2,570","280,605","105,300","501,150","1,439",540,"2,570",0,0,0,1,1,0,0,0,1,2070006,,1,"2,850","1,439",540,"2,570",,,,,1,,,0,0,0,0,,"280,605","11,115","105,300","11,115",
2,1,22,B 軽鉄下地 (壁),曲面壁,一般材,曲面壁 軽鉄下地 W=100 @150 R=1250,,17,丸柱　軽鉄下地,R=500,,,㎡,㎡,52,"7,950","7,950","413,400",,労務,"3,652",870,"7,160","189,904","45,240","372,320","3,652",870,"7,160",0,0,0,1,1,0,0,0,1,2040209,,1,"7,950","3,652",870,"7,160",,,,,1,,,0,0,0,0,,"189,904","8,268","45,240","8,268",
2,1,23,B 軽鉄下地 (壁),ﾗｲﾆﾝｸﾞ,一般材,ﾗｲﾆﾝｸﾞ 軽鉄下地 W=65 @303 (㎡),,18,ﾗｲﾆﾝｸﾞ壁　軽鉄間仕切,W=65　@455,,,㎡,㎡,132,"4,200","4,200","554,400",,労務,"1,495",870,"3,780","197,340","114,840","498,960","1,495",870,"3,780",0,0,0,1,1,0,0,0,1,2100604,,1,"4,200","1,495",870,"3,780",,,,,1,,,0,0,0,0,,"197,340","11,088","114,840","11,088",
2,1,24,Z 科目,,,金属工事 計,,0,金属工事 計,,,,,,,,,"14,159,320",,,,,,"6,617,933","3,307,436",0,,,,0,0,0,1,0,0,0,0,0,,,1,0,0,0,0,0,0,0,0,,"14,159,320",0,0,0,0,0,0,"6,617,933","283,187","3,307,436","283,187",
2,2,1,Z 科目,,,ボード工事,,0,ボード工事変更,,,,,,,,,,,,,,,0,0,0,,,,0,0,0,1,0,0,0,0,0,,,1,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,
2,2,2,Z 科目,,,（外部）,,0,（外部）,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,,,1,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,
2,2,3,C ボード (天井),外部天井,ｹｲｶﾙ板,外部天井 ｹｲｶﾙ板 t=6 目透貼,,1,外部天井　ｹｲ酸ｶﾙｼｳﾑ板張 目透かし貼,t=6,,,㎡,㎡,614,"1,950","1,950","1,197,300",,労務,810,640,"1,760","497,340","392,960","1,080,640",810,640,"1,760",0,0,0,1,1,0,0,0,1,302081002,,1,"1,950",810,640,"1,760",,,,,1,,,0,0,0,0,,"497,340","23,946","392,960","23,946",
2,2,4,C ボード (天井),外部天井,岩綿吸音板,外部天井 軒天用岩綿吸音板 t=9,外部天井 ｼｰｼﾞﾝｸﾞ石膏ﾎﾞｰﾄﾞ(不) t=12.5 捨貼,2,天井　岩綿吸音板張　軒天用,t=9 防水石膏ﾎﾞｰﾄﾞt=12.5 不燃捨張共,,,㎡,㎡,187,"6,050","6,050","1,131,350",,労務,"3,455","1,030","5,450","646,085","192,610","1,019,150","3,455","1,030","5,450",0,0,0,1,1,0,0,0,1,302170001,302022001,1,"4,400","2,711",560,"3,960","1,650",744,470,"1,490",1,,,0,0,0,0,,"646,085","22,627","192,610","22,627",
2,2,5,C ボード (天井),廻り縁,廻り縁,廻り縁 塩ﾋﾞ 目透型,,3,天井廻縁,塩ﾋﾞ　目透し,,,Ｍ,M,342,320,320,"109,440",,労務,89,100,290,"30,438","34,200","99,180",89,100,290,0,0,0,1,1,0,0,0,1,318300002,,1,320,89,100,290,,,,,1,,,0,0,0,0,,"30,438","2,189","34,200","2,189",
2,2,6,Z 科目,,,小計,,0,外部　小計,,,,,,,,,"2,438,090",,,,,,"1,173,863","619,770",0,,,,0,0,0,1,0,0,0,0,0,,,1,0,0,0,0,0,0,0,0,,"2,438,090",0,0,0,0,0,0,"1,173,863","48,762","619,770","48,762",
2,2,7,,,,,,0,,,,,,,,"1,580","1,580",,,,608,460,"1,340",,,,608,460,"1,340",0,0,0,0,0,0,0,0,0,,,1,"1,580",608,460,"1,340",0,0,0,0,,,,0,0,0,0,,,,,,
2,2,8,Z 科目,,,（内部）,,0,（内部）,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,,,1,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,
2,2,9,C ボード (天井),天井,石膏ﾎﾞｰﾄﾞ,天井 石膏ﾎﾞｰﾄﾞ(不) t=9.5 突付貼,,1,天井　石膏ﾎﾞｰﾄﾞ張,t=9.5　不燃,,,㎡,㎡,2617,"1,150","1,150","3,009,550",,労務,432,410,"1,040","1,130,544","1,072,970","2,721,680",432,410,"1,040",0,0,0,1,1,0,0,0,1,301011002,,1,"1,150",432,410,"1,040",,,,,1,,,0,0,0,0,,"1,130,544","60,191","1,072,970","60,191",
2,2,10,C ボード (天井),天井,岩綿吸音板,天井 岩綿吸音板 t=9,天井 石膏ﾎﾞｰﾄﾞ(不) t=9.5 捨貼,2,天井　岩綿吸音板張,t=9 石膏ﾎﾞｰﾄﾞt=9.5 不燃 捨張共,,,㎡,㎡,2272.7,"2,650","2,650","6,022,655",,労務,"1,081",870,"2,390","2,456,789","1,977,249","5,431,753","1,081",870,"2,390",0,0,0,1,1,0,0,0,1,301170001,301011001,1,"1,500",649,470,"1,350","1,150",432,400,"1,040",1,,,0,0,0,0,,"2,456,789","120,453","1,977,249","120,453",
2,2,11,C ボード (天井),天井,化粧石膏ﾎﾞｰﾄﾞ,天井 化粧石膏ﾎﾞｰﾄﾞ(不) t=9.5 ﾄﾗﾊﾞｰﾁﾝ 455×910,,3,天井　化粧石膏ﾎﾞｰﾄﾞ張,t=9.5　不燃,,,㎡,㎡,328.2,"1,250","1,250","410,250",,労務,486,430,"1,130","159,505","141,126","370,866",486,430,"1,130",0,0,0,1,1,0,0,0,1,301051001,,1,"1,250",486,430,"1,130",,,,,1,,,0,0,0,0,,"159,505","8,205","141,126","8,205",
2,2,12,C ボード (天井),天井,化粧石膏ﾎﾞｰﾄﾞ,天井 化粧石膏ﾎﾞｰﾄﾞ(和風) t=9.5 (鋼製裏桟付),,4,天井　化粧石膏ﾎﾞｰﾄﾞ張,和室用　t=9.5　杉柾敷目地下地共,,,㎡,㎡,143.1,"3,350","3,350","479,385",,労務,"1,771",700,"3,020","253,430","100,170","432,162","1,771",700,"3,020",0,0,0,1,1,0,0,0,1,301054001,,1,"3,350","1,771",700,"3,020",,,,,1,,,0,0,0,0,,"253,430","9,588","100,170","9,588",
2,2,13,C ボード (天井),下り壁,石膏ﾎﾞｰﾄﾞ,下り壁 石膏ﾎﾞｰﾄﾞ(不) t=9.5 H=300 (㎡),,5,下り壁　石膏ﾎﾞｰﾄﾞ張,t=9.5　不燃,,,㎡,㎡,225,"2,600","2,600","585,000",,労務,445,"1,070","2,340","100,125","240,750","526,500",445,"1,070","2,340",0,0,0,1,1,0,0,0,1,309011012,,1,"2,600",445,"1,070","2,340",,,,,1,,,0,0,0,0,,"100,125","11,700","240,750","11,700",
2,2,14,C ボード (天井),下り壁,ｼｰｼﾞﾝｸﾞ石膏ﾎﾞｰﾄﾞ,下り壁 ｼｰｼﾞﾝｸﾞ石膏ﾎﾞｰﾄﾞ(準) t=9.5 H=300 (㎡),,6,下り壁　防水石膏ﾎﾞｰﾄﾞ張,t=9.5,,,㎡,㎡,54,"2,800","2,800","151,200",,労務,575,"1,070","2,520","31,050","57,780","136,080",575,"1,070","2,520",0,0,0,1,1,0,0,0,1,309020012,,1,"2,800",575,"1,070","2,520",,,,,1,,,0,0,0,0,,"31,050","3,024","57,780","3,024",
2,2,15,C ボード (天井),梁型,石膏ﾎﾞｰﾄﾞ,梁型 石膏ﾎﾞｰﾄﾞ(不) t=9.5 形状 300×300 (㎡),,7,折上天井　石膏ﾎﾞｰﾄﾞ張,t=9.5　不燃,,,㎡,㎡,80,"2,600","2,600","208,000",,労務,457,"1,070","2,340","36,560","85,600","187,200",457,"1,070","2,340",0,0,0,1,1,0,0,0,1,311011013,,1,"2,600",457,"1,070","2,340",,,,,1,,,0,0,0,0,,"36,560","4,160","85,600","4,160",
2,2,16,C ボード (天井),梁型,石膏ﾎﾞｰﾄﾞ,梁型 石膏ﾎﾞｰﾄﾞ t=12.5 形状 300×300 (㎡),,8,折上天井　石膏ﾎﾞｰﾄﾞ張,t=12.5,,,㎡,㎡,81.4,"2,500","2,500","203,500",,労務,323,"1,130","2,250","26,292","91,982","183,150",323,"1,130","2,250",0,0,0,1,1,0,0,0,1,311012013,,1,"2,500",323,"1,130","2,250",,,,,1,,,0,0,0,0,,"26,292","4,070","91,982","4,070",
2,2,17,C ボード (天井),廻り縁,廻り縁,廻り縁 塩ﾋﾞ ｺ型,,9,天井廻縁,塩ﾋﾞ　ｺ型,,,Ｍ,M,1832,230,230,"421,360",,労務,35,100,210,"64,120","183,200","384,720",35,100,210,0,0,0,1,1,0,0,0,1,318300001,,1,230,35,100,210,,,,,1,,,0,0,0,0,,"64,120","8,427","183,200","8,427",
2,2,18,D ボード (壁),壁,石膏ﾎﾞｰﾄﾞ,壁 石膏ﾎﾞｰﾄﾞ(不) t=9.5 突付貼,壁 石膏ﾎﾞｰﾄﾞ t=12.5 突付貼,10,壁　石膏ﾎﾞｰﾄﾞ張,t=9.5(不) 石膏ﾎﾞｰﾄﾞt=12.5捨張共,,,㎡,㎡,584,"2,150","2,150","1,255,600",,労務,738,840,"1,940","430,992","490,560","1,132,960",738,840,"1,940",0,0,0,1,1,0,0,0,1,401010002,401010003,1,"1,150",432,410,"1,040","1,000",306,430,900,1,,,0,0,0,0,,"430,992","25,112","490,560","25,112",
2,2,19,D ボード (壁),壁,ｼｰｼﾞﾝｸﾞ石膏ﾎﾞｰﾄﾞ,壁 ｼｰｼﾞﾝｸﾞ石膏ﾎﾞｰﾄﾞ(不) t=12.5 突付貼,,11,壁　防水石膏ﾎﾞｰﾄﾞ張,t=12.5　不燃,,,㎡,㎡,416,"1,550","1,550","644,800",,労務,730,430,"1,400","303,680","178,880","582,400",730,430,"1,400",0,0,0,1,1,0,0,0,1,401020003,,1,"1,550",730,430,"1,400",,,,,1,,,0,0,0,0,,"303,680","12,896","178,880","12,896",
2,2,20,D ボード (壁),壁(化粧板),化粧ｹｲｶﾙ板,壁 化粧ｹｲｶﾙ板 ｱｽﾗｯｸｽ 200R t=6,壁 石膏ﾎﾞｰﾄﾞ t=12.5 突付貼,12,壁　化粧ｹｲｶﾙ板　t=6,防水石膏ﾎﾞｰﾄﾞ張　12.5　共,,,㎡,㎡,255,"6,850","6,850","1,746,750",,労務,"3,158","1,830","6,170","805,290","466,650","1,573,350","3,158","1,830","6,170",0,0,0,1,1,0,0,0,1,422102001,401010003,1,"5,850","2,852","1,400","5,270","1,000",306,430,900,1,,,0,0,0,0,,"805,290","34,935","466,650","34,935",
2,2,21,D ボード (壁),見切,見切･ｼﾞｮｲﾅｰ,ｼﾞｮｲﾅｰ H型 ｱﾙﾐ(ｶﾗｰ) (化粧板用) 縦＠900 横＠1800 (㎡),,13,同上　アルミ Ｈ ジョイナー,,,,㎡,㎡,255,"1,000","1,000","255,000",,労務,247,470,900,"62,985","119,850","229,500",247,470,900,0,0,0,1,0,0,0,0,1,419315122,,1,"1,000",247,470,900,,,,,1,,,0,0,0,0,,"62,985","5,100","119,850","5,100",
2,2,22,D ボード (壁),柱型,石膏ﾎﾞｰﾄﾞ,柱型 石膏ﾎﾞｰﾄﾞ t=12.5,,14,柱型　石膏ﾎﾞｰﾄﾞ張,t=12.5,,,㎡,㎡,195,"1,150","1,150","224,250",,労務,334,520,"1,040","65,130","101,400","202,800",334,520,"1,040",0,0,0,1,1,0,0,0,1,414010003,,1,"1,150",334,520,"1,040",,,,,1,,,0,0,0,0,,"65,130","4,485","101,400","4,485",
2,2,23,D ボード (壁),曲面壁,FGﾎﾞｰﾄﾞ,曲面壁 FGﾎﾞｰﾄﾞ t=6 R=1250,曲面壁 FGﾎﾞｰﾄﾞ t=6 R=1250,15,丸柱　FGﾎﾞｰﾄﾞ張り,t=6+6 R=500,,,㎡,㎡,52,"10,800","10,800","561,600",,労務,"4,584","1,960","9,720","238,368","101,920","505,440","4,584","1,960","9,720",0,0,0,1,1,0,0,0,1,403151003,403151003,1,"5,400","2,292",980,"4,860","5,400","2,292",980,"4,860",1,,,0,0,0,0,,"238,368","11,232","101,920","11,232",
2,2,24,Z 科目,,,小計,,0,内部　小計,,,,,,,,,"16,178,900",,,,,,"6,164,860","5,410,087",0,,,,0,0,0,1,0,0,0,0,0,,,1,0,0,0,0,0,0,0,0,,"16,178,900",0,0,0,0,0,0,"6,164,860","323,578","5,410,087","323,578",
2,3,1,Z 科目,,,ボード工事,,0,ＧＬ工事,,,,,,,,,,,,,,,0,0,0,,,,0,0,0,1,0,0,0,0,0,,,1,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,
2,3,2,D ボード (壁),壁(GL工法),石膏ﾎﾞｰﾄﾞ,壁GL工法 石膏ﾎﾞｰﾄﾞ t=12.5,,1,壁　石膏ﾎﾞｰﾄﾞ張　ＧＬ工法,t=12.5,,,㎡,㎡,574,"1,850","1,850","1,061,900",,労務,526,770,"1,670","301,924","441,980","958,580",526,770,"1,670",0,0,0,1,1,0,0,0,1,416010003,,1,"1,850",526,770,"1,670",,,,,1,,,0,0,0,0,,"301,924","21,238","441,980","21,238",
2,3,3,Z 科目,,,小計,,0,内部小計,,,,,,,,,"1,061,900",,,,,,"301,924","441,980",0,,,,0,0,0,1,0,0,0,0,0,,,1,0,0,0,0,0,0,0,0,,"1,061,900",0,0,0,0,0,0,"301,924","21,238","441,980","21,238",
2,4,1,Z 科目,,,耐火壁工事,,0,耐火壁工事,,,,,,,,,,,,,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,
2,4,2,E 耐火壁,耐火壁,吉野石膏,A2000･WⅠ 普通硬質石膏ﾎﾞｰﾄﾞ t=9.5＋強化石膏ﾎﾞｰﾄﾞ t=21 (両面) GW充填 t=50 24㎏/m3 下地 W=75 ST65千鳥,,1,壁　耐火遮音間仕切,吉野石膏：Ａ-2000ＷＩ　W=136,,,㎡,,196.7,"10,540","10,540","2,073,218",,労務,"4,395","2,880","9,490","864,497","566,496","1,866,683","4,395","2,880","9,490",0,0,0,1,1,0,0,0,1,409810008,,1,"10,540","4,395","2,880","9,490",,,,,1,,,0,0,0,0,,"864,497","41,464","566,496","41,464",
2,4,3,E 耐火壁,耐火ｼｰﾙ,耐火ｼｰﾙ,耐火処理材 ﾛｯｸｳｰﾙ系ﾌｪﾙﾄ 10×15,無機質系ｼｰﾙ,2,壁　同上隙間ｼｰﾙ,遮音ｼｰﾙ、ﾛｯｸﾌｪﾙﾄ　10×15　共　,,,Ｍ,M,1008,490,490,"493,920",,労務,222,140,440,"223,776","141,120","443,520",222,140,440,0,0,0,1,1,0,0,0,1,410291004,410290002,1,260,132,60,230,230,90,80,210,1,,,0,0,0,0,,"223,776","9,878","141,120","9,878",
2,4,4,Z 科目,,,小計,,0,内部　小計,,,,,,,,,"2,567,138",,,,,,"1,088,273","707,616",0,,,,0,0,0,1,0,0,0,0,0,,,1,0,0,0,0,0,0,0,0,,"2,567,138",0,0,0,0,0,0,"1,088,273","51,342","707,616","51,342",
3,1,1,,,,,,1,（内部）,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,,,1,,,,,,,,,,,,,,,,,,,,,
3,1,2,,,,,,2,＜壁＞,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,,,1,,,,,,,,,,,,,,,,,,,,,
3,1,3,B 軽鉄下地 (壁),壁,一般材,壁 軽鉄下地 W=65 @455,,3,壁 軽鉄壁下地,65形 下地張りあり @450,,,m2,㎡,21.1,"1,700","1,700","35,870",3 Ⅳ.旅客A建築工事11.金属工事,労務,869,400,"1,530","18,336","8,440","32,283",869,400,"1,530",0,0,0,1,1,0,0,0,1,2010106,,1,"1,700",869,400,"1,530",,,,,1,,,0,0,0,0,,"18,336",717,"8,440",717,
3,1,4,B 軽鉄下地 (壁),壁,一般材,壁 軽鉄下地 W=100 @455,,4,壁 軽鉄壁下地,100形 下地張りあり @450,,,m2,㎡,679,"1,850","1,850","1,256,150",3 Ⅳ.旅客A建築工事11.金属工事,労務,961,420,"1,670","652,519","285,180","1,133,930",961,420,"1,670",0,0,0,1,1,0,0,0,1,2010109,,1,"1,850",961,420,"1,670",,,,,1,,,0,0,0,0,,"652,519","25,123","285,180","25,123",
3,1,5,B 軽鉄下地 (壁),壁開口,一般材,壁 開口補強 W=100,,5,軽鉄壁下地開口補強,100形用,,,ｍ,M,48,"1,300","1,300","62,400",3 Ⅳ.旅客A建築工事11.金属工事,労務,620,290,"1,170","29,760","13,920","56,160",620,290,"1,170",0,0,0,1,1,0,0,0,1,2130009,,1,"1,300",620,290,"1,170",,,,,1,,,0,0,0,0,,"29,760","1,248","13,920","1,248",
3,1,6,,,,,,6,＜間仕切＞,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,,,1,,,,,,,,,,,,,,,,,,,,,
3,1,7,B 軽鉄下地 (壁),壁,JIS材,壁 軽鉄下地 W=100 @455,,7,軽鉄壁下地,t=100 JIS規格 @450,,,m2,㎡,28.1,"2,400","2,400","67,440",3 Ⅳ.旅客A建築工事11.金属工事,労務,"1,350",440,"2,160","37,935","12,364","60,696","1,350",440,"2,160",0,0,0,1,1,0,0,0,1,2010109,,1,"2,400","1,350",440,"2,160",,,,,1,,,0,0,0,0,,"37,935","1,349","12,364","1,349",
3,1,8,,,,,,8,軽鉄壁下地,補強材:2□-100×100×3.2 @3600,,,m2,M,28.1,,,,,,,,,,,,,,,0,0,0,1,1,0,0,0,1,,,0,,,,,,,,,,,,,,,,,,,,0,
